4220 Hajdúböszörmény, Dorogi u. 91. | önkormányzat
3360 Heves, Kolozsvári út 10/A | non-profit szervezet
7017 Mezőszilas, Fő u. 55. | állam
2433 Sárosd, Szabadság tér 1. | állam
8074 Csókakő, Tölgyfa u.2. | állam
6447 Felsőszentiván, Rákóczi u. 81. | katolikus egyház
4100 Berettyóújfalu, Árpád u. 1. | non-profit szervezet
4621 Fényeslitke, Petőfi u.27. | református egyház
3170 Szécsény, Haynald u.12. | katolikus egyház
2300 Ráckeve, Szitakötő u. 2. | egyéb egyház
5600 Békéscsaba, Felsőnyomás 271. | alapítvány
8083 Csákvár, Kastélypark 5. | non-profit szervezet
1192 Budapest, Mészáros L. u. 26. | önkormányzat
1182 Budapest, Alacskai út 22. | önkormányzat
1201 Budapest, Virág B. u. 36. | önkormányzat
5700 Gyula, Vértanúk útja 1-5. | önkormányzat
1071 Budapest, Dózsa Gy. u. 82/b | önkormányzat
1103 Budapest, Óhegy u. 48. | önkormányzat
1213 Budapest, Tapló u. 1. | önkormányzat
1121 Budapest, Zugligeti u. 58. | önkormányzat
1115 Budapest, Bánk Bán u. 12-20. | önkormányzat
8153 Polgárdi-Ipartelepek, Somlyói u. 2. | önkormányzat
2100 Gödöllő, Dózsa Gy. út 65. | önkormányzat
2635 Vámosmikola, Ipolysági út 9-11. | önkormányzat
9700 Szombathely, Bogáti u. 72. | önkormányzat
1102 Budapest, Halom u.31. | önkormányzat
1173 Budapest, Pesti út 117. | önkormányzat
1047 Budapest, Baross u. 100. | önkormányzat
1046 Budapest, Csokonai u. 38. | önkormányzat
1044 Budapest, Béla u. 18. | önkormányzat
1112 Budapest, Rupphegyi u. 7. | önkormányzat
1103 Budapest, Gergely u. 85. | önkormányzat
1125 Budapest, Kútvölgyi út 20-22. | önkormányzat
1031 Budapest, Ányos u. 3. | önkormányzat
2025 Visegrád, Mogyoróhegy u. 10. | önkormányzat
1112 Budapest, Kamaraerdei út 16. | önkormányzat
1064 Budapest, Rózsa u. 67. | önkormányzat
1092 Budapest, Knézich u. 14. | önkormányzat
2700 Cegléd, Törteli u. 14. | non-profit szervezet
6700 Szeged, Derkovits fasor 15-17. | egyéb gazdasági társaság
3245 Recsk, Ércbányatelep u. 3. | non-profit szervezet
3529 Miskolc, Gesztenyés u. 16. | alapítvány
9400 Sopron , Faller Jenő u.2. | egyéb gazdasági társaság
8414 Olaszfalu, Felsőpere 1. | non-profit szervezet
2638 Kemence, Fő u. 97. | önkormányzati társulás
2628 Szob, Árpád u.15. | önkormányzati társulás
2639 Bernecebaráti, Széchenyi u. 75. | önkormányzati társulás
4146 Újiráz, Petőfi u. 19. | önkormányzat
3378 Mezőszemere, Somogyi u. 4. | önkormányzat
2769 Tápiószőlős, Kossuth L. u. 77. | önkormányzat
9444 Fertőszentmiklós, Ifjuság tér 2. | önkormányzat
4275 Monostorpályi, Kossuth u.50. | önkormányzati társulás
8431 Bakonyszentlászló, László király u.10. | önkormányzat
4327 Pócspetri, Pócsi u 13. | önkormányzat
8878 Lovászi, Petőfi S. u. 1. | többcélú kistérségi társulás
8900 Zalaegerszeg, Landorhegyi u. 13/A | önkormányzat
8851 Gyékényes, Szabadság tér 63. | önkormányzat
4732 Cégénydányád, Zrinyi u.58/C | önkormányzat
5537 Zsadány, Attila körút 19. | református egyház
2626 Nagymaros, Vasút u.6. | önkormányzat
5932 Gádoros, Fő u. 30. | önkormányzat
8083 Csákvár, Szent István u. 13. | önkormányzati társulás
6066 Tiszaalpár, Dózsa Gy. u.71. | önkormányzat
5666 Medgyesegyháza, Kossuth tér 5. | önkormányzat
7555 Csokonyavisonta, Xantus u. 45. | többcélú kistérségi társulás
5123 Jászárokszállás, Móczár Andor tér 7. | önkormányzat
6646 Tömörkény, Ifjuság u.8. | önkormányzati társulás
3860 Encs, Táncsics u. 2. | önkormányzat
2112 Veresegyház, Budapesti út 96-98. | non-profit szervezet
8330 Sümeg, Kossuth u. 2. | alapítvány
8900 Zalaegerszeg, Pais Dezső u.2. | katolikus egyház
8751 Zalakomár, Péczely köz 1. | egyesület
6456 Madaras, Báthory  u. 11. | önkormányzat
8600 Siófok-Kiliti, Béke tér 2. | katolikus egyház
1011 Budapest, Fő utca 41. | non-profit szervezet
1182 Budapest, Marosvásárhely u. 27. | katolikus egyház
9431 Fertőd, Mentes Mihály. u. 1/b. | katolikus egyház
4110 Biharkeresztes, Nagy S.u.11-13. | református egyház
8391 Sármellék, Szent Erzsébet u.1. | egyesület
2500 Esztergom, Visegrádi út hrsz | katolikus egyház
7150 Bonyhád, Bank u.3. | non-profit szervezet
5820 Mezőhegyes, Komlósi u. 14. | alapítvány
5948 Kaszaper, Komlósi u. 5. | non-profit szervezet
5662 Csanádapáca, Horváth L.tér 5. | önkormányzat
9024 Győr, Répce u. 8/b | önkormányzat
9022 Győr, Apáca u. 27. | önkormányzat
9028 Győr, Cuha u.30. | önkormányzat
9026 Győr, Kálóczy tér 9-11. | önkormányzat
9028 Győr, Mohi u. 4. | önkormányzat
9311 Pásztori, Alsó u.39-41. | állam
9346 Magyarkeresztúr, Kossuth L.u.56-57. | állam
9482 Nagylózs, Zrínyi u. 2. | állam
9375 Csáfordjánosi, Béke u.17. | állam
9021 Győr, Káptalandomb 26. | katolikus egyház
4545 Gyulaháza, Petőfi u. 53. | önkormányzat
7227 Gyulaj, Magyar u. 9. | önkormányzat
2045 Törökbálint, Liszt F. u. 10/a. | non-profit szervezet
4080 Hajdúnánás, Köztársaság tér 12. | református egyház
4080 Hajdúnánás, Polgári u.12. | református egyház
4080 Hajdúnánás, Fürdő u.1. | állam
4060 Balmazújváros, Nagyhát tanya 28. | állam
4212 Hajdúszovát, Sallai u.4. | református egyház
6400 Kiskunhalas, Nyúl u. 5-7. | többcélú kistérségi társulás
6422 Tompa, Szabadság tér 4. | többcélú kistérségi társulás
6421 Kisszállás, Iskola u. 20-22. | többcélú kistérségi társulás
6136 Harkakötöny, Ady E. u. 8. | többcélú kistérségi társulás
2462 Martonvásár, Szent László u. 11. | non-profit szervezet
2230 Gyömrő, Táncsics M. u. 2/A. | non-profit szervezet
8087 Alcsútdoboz, (sportpálya mellett) | egyéb gazdasági társaság
7064 Gyönk, Táncsics u. 473. | állam
7093 Értény, Barnahát puszta | állam
7092 Nagykónyi, Nagy u. 10. | állam
5700 Gyula, Kálvária sor  11. | egyéb egyház
6098 Tass, Dózsa Gy, út, 10. | egyéb egyház
3031 Zagyvaszántó, Selypi u. 2. | állam
3000 Hatvan, Kórház u. 3-5. | állam
