3123 Cered, Rákóczi út 30. | többcélú kistérségi társulás
8000 Székesfehérvár, Farkasvermi u. 40. | önkormányzat
5430 Tiszaföldvár, Baross körút 109-111. | önkormányzat
8130 Enying, Szabadság tér 2. | önkormányzati társulás
7000 Sárbogárd, Ady E. u. 39-41. | önkormányzat
5440 Kunszentmárton, Köttön út 21. | önkormányzat
5065 Nagykörü, Szabadság út 2. | többcélú kistérségi társulás
8130 Enying, Hősők tere 5. | önkormányzati társulás
5516 Körösladány, Simai u.2. | önkormányzat
2400 Dunaújváros, Dunasor 15. | önkormányzat
2400 Dunaújváros, Barátság út  27. | önkormányzat
6060 Tiszakécske, Vörösmarty u. 11. | önkormányzat
3980 Sátoraljaújhely, Köveshegy  20. | önkormányzat
2100 Gödöllő, Ady Endre sétány  56. | önkormányzat
8800 Nagykanizsa, Teleki u. 19/b | önkormányzati társulás
8000 Székesfehérvár, Farkasvermi u. 40. | önkormányzat
8000 Székesfehérvár, Hosszúséta tér 12. | önkormányzat
8000 Székesfehérvár, Rákóczi u. 34. | önkormányzat
4562 Vaja, Lahner u. 25/a | önkormányzat
3600 Ózd, Susai u. 23-24. | katolikus egyház
9700 Szombathely, Várköz 1. | katolikus egyház
9081 Győrújbarát, Fő u.12. | alapítvány
8200 Veszprém, Sólyi u. 20. | non-profit szervezet
2220 Vecsés, Telepi út 10. | non-profit szervezet
4405 Nyíregyháza, Tallér u. 4. | alapítvány
4400 Nyíregyháza, Korányi Frigyes u. 160/A | evangélikus egyház
4220 Hajdúböszörmény, Külső-Hadházi u.1. | egyéb egyház
1135 Budapest, Kerekes J. u. 12-20. I-IV.em. | non-profit szervezet
3860 Encs, Ady E.u.1. | állam
5122 Jászdózsa, Kossuth u.15. | önkormányzat
6625 Fábiánsebestyén, Szabadság út 1. | önkormányzat
8721 Vése, Fő u. 78. (0364/1) | alapítvány
2028 Pilismarót, Basaharc | katolikus egyház
2241 Sülysáp , Vasút u. 42. | alapítvány
9025 Győr, Péterfy S. u. 5. | evangélikus egyház
5661 Újkígyós, Petőfi u.26-28. | önkormányzat
1139 Budapest, Hajdú u. 46. IV-V. em. | egyesület
7432 Hetes, Vikár u.74/c | önkormányzat
9400 Sopron, Kisfaludy u.10. | evangélikus egyház
